"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,0.907839165554094,0.625,0.343,0,"RPS4Y1"
0,-1.11472004369037,0.29,0.555,0,"XIST"
0,0.866522132245943,0.373,0.208,0,"DDX3Y"
0,-1.12567742427639,0.191,0.327,0,"FAM118A"
0,1.09162153569773,0.217,0.111,0,"PRKY"
0,0.915234455340517,0.226,0.125,0,"UTY"
0,0.848315639317425,0.229,0.131,0,"USP9Y"
0,0.859696372930777,0.211,0.12,0,"EIF1AY"
0,-0.460536358309253,0.75,0.814,0,"SNHG8"
0,0.385419226436975,0.908,0.851,0,"SNHG5"
0,-0.41635812910249,0.956,0.964,0,"RPS26"
1.51466657774491e-307,-0.407440251951972,0.551,0.645,3.71396244863053e-303,"GABPB1-AS1"
1.53981517721526e-222,-0.273225022777118,0.804,0.842,3.77562681453181e-218,"DDX3X"
4.82203981461224e-220,-0.261104824418058,0.76,0.803,1.18236416254292e-215,"TRA2B"
1.20630678623317e-205,0.250486096906964,0.703,0.621,2.95786423984374e-201,"SMDT1"
1.17918809205623e-183,0.942270779840401,0.107,0.058,2.89136920172187e-179,"KDM5D"
1.33291087164613e-182,-0.605176628747505,0.215,0.287,3.26829745727631e-178,"HIST1H1E"
5.12843244224001e-177,-0.306680903720773,0.454,0.534,1.25749163483725e-172,"PLCG2"
4.43105945919411e-169,0.903372614396862,0.104,0.058,1.0864957793944e-164,"ZFY"
6.71897344841544e-158,-0.46489795686067,0.346,0.414,1.64749228955147e-153,"HIST1H1D"
2.62482450883871e-114,-0.416944548579971,0.251,0.309,6.43606969567252e-110,"HIST1H1C"
1.50816779971671e-85,0.260798267524238,0.381,0.323,3.69802744490536e-81,"PLP2"
2.43529125593568e-83,-0.295594980990913,0.345,0.395,5.97133415955429e-79,"MBD2"
1.96395710377733e-82,-0.311459872778083,0.269,0.32,4.81562281846201e-78,"HIST2H2AC"
5.78976230439277e-78,-0.251172349186029,0.368,0.419,1.41964971703711e-73,"CCDC18-AS1"
7.17839862864032e-77,0.527987046256093,0.123,0.088,1.76014334374261e-72,"NQO2"
5.26438597894432e-75,-0.259637990328421,0.416,0.463,1.29082744203715e-70,"MT-ATP8"
5.21939882967857e-73,-0.258981592267337,0.458,0.501,1.27979659303718e-68,"AL499604.1"
3.03319121525752e-70,0.330811644012771,0.216,0.173,7.43738485981144e-66,"CD8A"
2.11086456160314e-66,-0.381504861532755,0.146,0.184,5.17583990505089e-62,"HIST1H3D"
