"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
0,0.796824240509471,0.62,0.375,0,"RPS4Y1","0"
3.97412088334964e-283,0.407551756175877,0.968,0.915,9.74454440597331e-279,"SNHG5","0"
4.61381182338034e-279,-0.931912722756224,0.299,0.514,1.13130665909286e-274,"XIST","0"
2.6355473999491e-231,-0.468297044254409,0.873,0.921,6.46236222467519e-227,"SNHG8","0"
5.27138709335052e-196,-0.470981422958613,0.96,0.969,1.29254411528955e-191,"RPS26","0"
7.24811845472897e-140,-1.03277418420798,0.202,0.328,1.77723864509954e-135,"FAM118A","0"
8.54178622949527e-107,0.691154324899869,0.317,0.196,2.09444598347224e-102,"DDX3Y","0"
1.54445774467742e-106,0.92815009528031,0.24,0.136,3.78701038994903e-102,"PRKY","0"
1.09598689940617e-76,0.82030243844279,0.202,0.119,2.68735987734393e-72,"EIF1AY","0"
1.33644160124723e-75,0.761256942643707,0.216,0.131,3.27695480625822e-71,"UTY","0"
5.47405523540045e-67,0.270077104291058,0.732,0.62,1.34223834372019e-62,"SMDT1","0"
1.43627886264955e-65,0.681502673032756,0.22,0.139,3.52175577121669e-61,"USP9Y","0"
7.96963352487958e-64,-0.29178274129744,0.718,0.764,1.95415414030047e-59,"TRA2B","0"
1.13766037412621e-61,1.28001359132137,0.112,0.056,2.78954323735748e-57,"ID3","0"
1.21716548745278e-59,0.634321650471474,0.377,0.289,2.98448977523421e-55,"SOCS3","0"
3.24860396890393e-57,0.298910633961695,0.687,0.598,7.96557693175244e-53,"PPA1","0"
2.51190808559371e-56,0.566238980424315,0.263,0.179,6.15919862587578e-52,"SERPINB9","0"
1.38969798192234e-52,-0.251337218125086,0.898,0.905,3.40753945167358e-48,"JUN","0"
7.4413319885881e-51,-0.419422618482785,0.408,0.484,1.8246146036018e-46,"AC044849.1","0"
2.09181881042819e-50,-0.476413012200741,0.377,0.45,5.12913972316991e-46,"HIST1H1D","0"
6.30232928047805e-47,-0.296034722384981,0.601,0.666,1.54533113957322e-42,"GABPB1-AS1","0"
8.57321407588224e-46,0.395019022701996,0.422,0.336,2.10215209140632e-41,"CHI3L2","0"
2.9717630455105e-44,-0.258989966420496,0.74,0.777,7.28676298759173e-40,"DDX3X","0"
3.39499290434185e-42,-0.641529222238376,0.158,0.22,8.32452260144622e-38,"HIST1H1E","0"
2.55354290120637e-41,-0.452209216833639,0.306,0.372,6.26128719375802e-37,"MT-ATP8","0"
1.18613768869713e-40,-0.352141085531892,0.361,0.432,2.90840961268537e-36,"PLCG2","0"
1.84676974609607e-37,-0.253307961697649,0.65,0.688,4.52827941742757e-33,"RNASET2","0"
4.3190385876668e-35,0.406142567263833,0.359,0.287,1.0590282616959e-30,"MYADM","0"
3.97962776252349e-34,-0.325430561559959,0.361,0.427,9.7580472737076e-30,"ANXA1","0"
3.25550006066553e-31,0.317620474335406,0.363,0.291,7.98248614875188e-27,"INPP4B","0"
3.12190713351903e-30,-0.276134259540259,0.548,0.595,7.65491629138865e-26,"AL499604.1","0"
2.13073545852681e-29,0.258662227250955,0.484,0.412,5.22456334430773e-25,"C16orf54","0"
6.5125539069319e-29,-0.261369603628735,0.463,0.515,1.5968782179797e-24,"LINC01138","0"
1.05489631481961e-26,0.392870794623668,0.269,0.212,2.58660576393768e-22,"KANSL1-AS1","0"
1.13408874672516e-24,0.329164365686493,0.316,0.255,2.78078560697009e-20,"PIM2","0"
1.70236359144841e-24,-0.251119389591837,0.421,0.473,4.17419552623149e-20,"CCDC18-AS1","0"
1.07893732058503e-23,0.439114955895159,0.202,0.154,2.6455543100745e-19,"PIM3","0"
1.39823637057162e-23,-0.661912537618138,0.159,0.201,3.42847558064161e-19,"IGKC","0"
2.09725935895579e-23,-0.321580083026318,0.245,0.298,5.1424799481596e-19,"BEX3","0"
3.66193793840101e-23,-0.70214145659427,0.068,0.102,8.97907182495928e-19,"AL592183.1","0"
1.66855216394662e-22,-0.522545934238663,0.095,0.134,4.09128990599712e-18,"TNFSF8","0"
5.23589894979583e-22,-0.410869962829904,0.192,0.236,1.28384242248994e-17,"AL118516.1","0"
2.07143561945852e-21,0.359659942182629,0.216,0.167,5.0791601389123e-17,"NBPF19","0"
1.90294524343142e-20,-0.381826421442232,0.224,0.267,4.66602173689383e-16,"HIST1H1C","0"
2.05333598901265e-20,-0.369394499907211,0.201,0.245,5.03477984505903e-16,"HIST2H2AC","0"
3.07047169426726e-20,-0.297221979424839,0.311,0.356,7.52879659434332e-16,"KLF9","0"
4.8316153889346e-20,-0.376709523133053,0.17,0.212,1.18471209336676e-15,"KMT2E-AS1","0"
5.94070578406993e-20,-0.419954538198336,0.138,0.179,1.45666105825395e-15,"HIST1H3D","0"
7.13158856658024e-20,-0.487688194545121,0.156,0.194,1.74866551652548e-15,"CENPK","0"
1.13558666524607e-19,-0.359031519653781,0.232,0.277,2.78445850318336e-15,"RGS1","0"
