"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.59545866483599,0.814,0.322,0,"0","LEF1"
0,1.65208348880252,0.81,0.326,0,"0","CCR7"
0,2.94328748291078,0.587,0.117,0,"0","FHIT"
0,1.01484395940269,0.958,0.507,0,"0","IL7R"
0,1.86056326315401,0.673,0.233,0,"0","MAL"
0,1.34188222205095,0.958,0.529,0,"0","TCF7"
0,2.01908116668883,0.685,0.259,0,"0","IL6ST"
0,1.82371691545755,0.647,0.224,0,"0","TRABD2A"
0,1.67560812344602,0.716,0.295,0,"0","CAMK4"
0,1.4210676054199,0.973,0.563,0,"0","BCL11B"
0,0.61569080646301,0.977,0.569,0,"0","CD3D"
0,0.707282844275646,0.962,0.557,0,"0","CD3G"
0,1.25485915171657,0.859,0.467,0,"0","RCAN3"
0,1.42844673211085,0.739,0.354,0,"0","PRKCQ-AS1"
0,0.701735388669103,0.929,0.546,0,"0","TRAC"
0,0.689450810860185,0.972,0.596,0,"0","CD3E"
0,1.32250724928365,0.92,0.561,0,"0","NOSIP"
0,2.0774847220103,0.501,0.148,0,"0","CHRM3-AS2"
0,0.800647649516224,0.811,0.466,0,"0","CD27"
0,1.0410719703227,0.888,0.546,0,"0","RGS10"
0,1.27029997037343,0.758,0.43,0,"0","SATB1"
0,1.31064911541641,0.621,0.294,0,"0","OXNAD1"
0,1.41137003841987,0.597,0.271,0,"0","PRKCA"
0,1.59648294147822,0.536,0.214,0,"0","TRAT1"
0,1.12364702677804,0.72,0.399,0,"0","LINC00861"
0,1.27156559602452,0.623,0.304,0,"0","ITM2A"
0,1.03005439201892,0.864,0.55,0,"0","PIK3IP1"
0,1.13799327516628,0.672,0.374,0,"0","ABLIM1"
0,0.988257111701388,0.845,0.551,0,"0","LEPROTL1"
0,1.15442832090959,0.615,0.331,0,"0","FAM102A"
0,0.431121712363809,0.762,0.485,0,"0","CD2"
0,0.637228082272121,0.714,0.441,0,"0","NUCB2"
0,1.21211215704396,0.597,0.33,0,"0","MAML2"
0,1.0838316752797,0.53,0.265,0,"0","ACTN1"
0,1.11469978678471,0.989,0.726,0,"0","LDHB"
0,1.56075254864659,0.448,0.186,0,"0","ITGA6"
0,1.25159785514374,0.51,0.252,0,"0","TESPA1"
0,0.64728183869414,0.621,0.364,0,"0","TXK"
0,0.715744655342654,0.882,0.625,0,"0","GIMAP7"
0,1.06115958012064,0.55,0.296,0,"0","LDLRAP1"
0,0.905961138195016,0.75,0.497,0,"0","GIMAP1"
0,1.2369715761861,0.538,0.286,0,"0","RFLNB"
0,1.70973772548495,0.394,0.143,0,"0","LINC01550"
0,0.802123808188463,0.982,0.732,0,"0","FYB1"
0,2.19891329518676,0.341,0.092,0,"0","EPHX2"
0,1.05368124578751,0.564,0.315,0,"0","SERINC5"
0,0.813556812499696,0.695,0.448,0,"0","MGAT4A"
0,0.400927163776736,0.828,0.583,0,"0","LCK"
0,1.74082712688979,0.374,0.129,0,"0","CHI3L2"
0,0.758423826440022,0.91,0.666,0,"0","AAK1"
0,0.646895034765305,0.886,0.647,0,"0","SELL"
0,1.5898833722706,0.394,0.157,0,"0","RETREG1"
0,0.918087780990999,0.759,0.525,0,"0","NDFIP1"
0,1.32110304943948,0.436,0.204,0,"0","MLLT3"
0,0.829357017207224,0.432,0.202,0,"0","CD4"
0,0.469854570050197,0.994,0.769,0,"0","LTB"
0,0.898367273479867,0.521,0.297,0,"0","CD6"
0,2.24439217640792,0.296,0.073,0,"0","AK5"
0,1.81507162708947,0.317,0.099,0,"0","LRRN3"
0,0.943946446164857,0.499,0.282,0,"0","ITK"
0,2.07578094446447,0.293,0.076,0,"0","CD40LG"
0,0.983647565684987,0.538,0.323,0,"0","DGKA"
0,1.03946910126218,0.477,0.264,0,"0","GIMAP5"
0,0.61127361134175,0.629,0.418,0,"0","LAT"
0,0.929203815280261,0.536,0.325,0,"0","FLT3LG"
0,0.826533453485793,0.66,0.452,0,"0","OCIAD2"
0,0.281620489025977,0.764,0.557,0,"0","LIME1"
0,1.70963172061543,0.312,0.107,0,"0","CSGALNACT1"
0,2.49700106013394,0.26,0.055,0,"0","AC005842.1"
0,1.1626339768813,0.433,0.229,0,"0","SUSD3"
0,1.05774060630361,0.471,0.267,0,"0","IPCEF1"
0,0.819037703666118,0.655,0.452,0,"0","TRBC1"
0,1.32858158020865,0.339,0.138,0,"0","TMIGD2"
0,1.23830657420349,0.422,0.226,0,"0","CHMP7"
0,1.24616080898166,0.393,0.198,0,"0","PDK1"
0,0.715131976708209,0.824,0.632,0,"0","SNHG32"
0,0.786572869514212,0.858,0.669,0,"0","TRBC2"
0,1.0180771891106,0.406,0.225,0,"0","THEM4"
0,1.40406453464719,0.323,0.143,0,"0","NCMAP-DT"
0,0.60554723073956,0.633,0.454,0,"0","RASGRP1"
0,0.793624693820738,0.572,0.395,0,"0","RAPGEF6"
0,0.689481580097767,0.94,0.764,0,"0","C12orf57"
0,0.598020411587354,0.865,0.691,0,"0","PCED1B-AS1"
0,1.18545806734872,0.328,0.154,0,"0","CD28"
0,1.0832008093721,0.326,0.154,0,"0","APBA2"
0,0.645577418407248,0.945,0.774,0,"0","ETS1"
0,0.570449225543908,0.795,0.627,0,"0","PRMT2"
0,0.778910189325701,0.465,0.299,0,"0","MARCKSL1"
0,0.613967269522308,0.486,0.32,0,"0","PDE3B"
0,1.06715337226261,0.323,0.158,0,"0","INPP4B"
0,0.552947349497042,0.477,0.312,0,"0","TC2N"
0,0.706598560948863,0.579,0.415,0,"0","PDE7A"
0,1.35417057213201,0.274,0.112,0,"0","BEX3"
0,0.65346829300491,0.653,0.492,0,"0","MCUB"
0,1.50660872406373,0.255,0.096,0,"0","ANK3"
0,0.958375618710923,0.384,0.225,0,"0","STMN3"
0,0.879625354712023,0.442,0.286,0,"0","GIMAP2"
0,0.71210045802602,0.9,0.745,0,"0","SNHG8"
0,1.21494107181367,0.31,0.156,0,"0","LINC01089"
0,0.494563832306718,0.825,0.671,0,"0","TMEM123"
0,0.393357521985181,0.753,0.6,0,"0","LBH"
0,0.988099634071603,0.302,0.152,0,"0","TBC1D4"
0,1.41258510281587,0.264,0.117,0,"0","CITED4"
0,0.59044173310114,0.492,0.345,0,"0","LINC01138"
0,0.911637095467273,0.375,0.228,0,"0","MYC"
0,0.556533699883627,0.723,0.577,0,"0","PSIP1"
0,0.689806432606823,0.492,0.347,0,"0","FKBP5"
