"sample","group","cells_before","cells_after","percent_retained"
"GSM6616991_Control01","Control01",5313,4941,92.9983060417843
"GSM6616992_Control02","Control02",6148,5858,95.2830188679245
"GSM6616993_Control03","Control03",5601,5146,91.8764506338154
"GSM6616994_Control04","Control04",5195,4990,96.0538979788258
"GSM6616995_Control05","Control05",6354,6037,95.0110166824048
"GSM6616996_Control06","Control06",5792,5524,95.3729281767956
"GSM6616997_Control07","Control07",5095,4835,94.8969578017664
"GSM6616998_Control08","Control08",4051,3776,93.2115527030363
"GSM6616999_Control09","Control09",4758,4508,94.7456914670029
"GSM6617000_Control10","Control10",5113,4501,88.0305104635244
"GSM6617001_Control11","Control11",4777,4419,92.505756751099
"GSM6617002_OSA01","OSA01",4200,3809,90.6904761904762
"GSM6617003_OSA02","OSA02",4825,4556,94.4248704663212
"GSM6617004_OSA03","OSA03",4558,4214,92.4528301886792
"GSM6617005_OSA04","OSA04",4933,4705,95.3780660855463
"GSM6617006_OSA05","OSA05",4750,4450,93.6842105263158
"GSM6617007_OSA06","OSA06",5739,5473,95.3650461752919
"GSM6617008_OSA07","OSA07",5349,5063,94.6532062067676
"GSM6617009_OSA08","OSA08",6159,5506,89.3976294853061
"GSM6617010_OSA09","OSA09",3905,3658,93.6747759282971
"GSM6617011_OSA10","OSA10",5255,4852,92.3311132254995
"GSM6617012_OSA11","OSA11",5086,4747,93.3346441211168
