"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.94328748291078,0.587,0.117,0,"0","FHIT"
0,1.86056326315401,0.673,0.233,0,"0","MAL"
0,2.01908116668883,0.685,0.259,0,"0","IL6ST"
0,1.82371691545755,0.647,0.224,0,"0","TRABD2A"
0,2.0774847220103,0.501,0.148,0,"0","CHRM3-AS2"
0,2.19891329518676,0.341,0.092,0,"0","EPHX2"
0,2.24439217640792,0.296,0.073,0,"0","AK5"
0,1.81507162708947,0.317,0.099,0,"0","LRRN3"
0,2.07578094446447,0.293,0.076,0,"0","CD40LG"
0,2.49700106013394,0.26,0.055,0,"0","AC005842.1"
0,3.69830083423367,0.955,0.099,0,"1","CD8B"
0,2.40980892442179,0.803,0.107,0,"1","CD8A"
0,4.34713595616193,0.693,0.039,0,"1","LINC02446"
0,2.49240647137456,0.637,0.132,0,"1","NELL2"
0,1.54439574717782,0.728,0.309,0,"1","PDE3B"
0,1.91124316800766,0.56,0.146,0,"1","PASK"
0,2.17088081067579,0.478,0.106,0,"1","LRRN3"
0,1.7206122653812,0.482,0.15,0,"1","THEMIS"
0,2.1014348508562,0.294,0.062,0,"1","CRTAM"
0,1.643186142715,0.348,0.129,0,"1","CARS"
0,5.30868457452868,0.984,0.051,0,"2","IGHD"
0,6.66121656228149,0.869,0.018,0,"2","TCL1A"
0,4.83684643006012,0.887,0.067,0,"2","LINC00926"
0,5.32193179027196,0.856,0.05,0,"2","FCRL1"
0,4.91853094307209,0.712,0.034,0,"2","VPREB3"
0,5.8233038522186,0.703,0.027,0,"2","FCER2"
0,4.82386509793555,0.599,0.037,0,"2","LINC02397"
0,5.0190900141697,0.547,0.024,0,"2","TSPAN13"
0,5.47948053985073,0.421,0.015,0,"2","PCDH9"
0,5.80340934347961,0.353,0.011,0,"2","COL19A1"
0,3.39535790551715,0.597,0.078,0,"3","MAF"
0,1.93617620385728,0.702,0.26,0,"3","TRADD"
0,2.1890016086017,0.625,0.187,0,"3","AQP3"
0,2.12348060048746,0.783,0.358,0,"3","ITGB1"
0,1.86808723738011,0.689,0.271,0,"3","LIMS1"
0,1.97346973973091,0.562,0.164,0,"3","INPP4B"
0,1.90317806451146,0.412,0.102,0,"3","CD40LG"
0,3.98723686268193,0.325,0.021,0,"3","TNFRSF4"
0,2.20652333198811,0.324,0.069,0,"3","TSHZ2"
0,2.75574727679069,0.296,0.044,0,"3","NPDC1"
0,8.47234553196823,0.985,0.024,0,"4","VCAN"
0,8.23773268149454,0.948,0.013,0,"4","CD14"
0,8.71864151309811,0.997,0.073,0,"4","S100A8"
0,9.0285983922119,0.916,0.01,0,"4","S100A12"
0,8.26380597016927,1,0.142,0,"4","S100A9"
0,8.03180665690737,0.515,0.003,0,"4","CD163"
0,8.78891382347372,0.51,0.002,0,"4","CLEC4E"
0,8.1368063434525,0.481,0.004,0,"4","CYP1B1"
0,8.34308626443249,0.34,0.001,0,"4","CYP27A1"
0,9.46770235594893,0.261,0,0,"4","CLEC4D"
0,6.71651392670465,0.922,0.025,0,"5","KLRF1"
0,5.5154168111065,0.864,0.083,0,"5","SPON2"
0,6.08384595424422,0.57,0.026,0,"5","IGFBP7"
0,7.27664487164853,0.503,0.007,0,"5","SH2D1B"
0,5.71287470229645,0.499,0.019,0,"5","LINC00299"
0,5.27393418305542,0.476,0.026,0,"5","AKR1C3"
0,5.88705703796407,0.345,0.008,0,"5","NCR1"
0,6.75905045648935,0.333,0.005,0,"5","NCAM1"
0,5.4021873005056,0.304,0.01,0,"5","NMUR1"
0,5.52933428811884,0.304,0.011,0,"5","MLC1"
0,3.66950015690216,0.964,0.167,0,"6","KLRB1"
0,3.52480702878671,0.927,0.155,0,"6","KLRG1"
0,4.63615171754109,0.759,0.066,0,"6","TRGC1"
0,3.69236229322085,0.743,0.107,0,"6","TRDC"
0,3.38821480807093,0.681,0.077,0,"6","GZMK"
0,3.25570186101418,0.698,0.102,0,"6","A2M-AS1"
0,3.26704688529925,0.43,0.055,0,"6","PTMS"
0,7.4329345683027,0.337,0.003,0,"6","SLC4A10"
0,3.71455722210803,0.325,0.026,0,"6","LAG3"
0,3.99240315165675,0.252,0.017,0,"6","TRGV9"
0,2.77243057117009,0.874,0.228,0,"7","CCL5"
0,2.19925739256628,0.707,0.175,0,"7","CD8B"
0,2.89604729630095,0.696,0.164,0,"7","CD8A"
0,3.16709521174408,0.532,0.103,0,"7","GZMH"
0,2.86518876279983,0.483,0.093,0,"7","GZMK"
0,2.63432968844318,0.492,0.115,0,"7","TRGC2"
0,2.16693255803824,0.448,0.14,0,"7","CYTOR"
0,2.81535683878547,0.369,0.063,0,"7","TIGIT"
0,2.60158488456774,0.359,0.077,0,"7","MIAT"
0,2.09510453458792,0.293,0.064,0,"7","FCRL6"
0,5.67998746122259,0.643,0.016,0,"8","TNFRSF13B"
0,6.03573809740226,0.569,0.025,0,"8","IGHG1"
0,5.13892797247305,0.546,0.022,0,"8","CLECL1"
0,5.04709152273844,0.493,0.032,0,"8","IGHG3"
0,5.16050811928025,0.478,0.018,0,"8","AIM2"
0,5.00621555781133,0.498,0.092,0,"8","IGHA1"
0,4.51314333118938,0.397,0.022,0,"8","CD1C"
0,5.85637641043832,0.355,0.01,0,"8","IGHG4"
0,5.56084416081083,0.304,0.01,0,"8","IGHG2"
0,7.86464386433539,0.292,0.002,0,"8","SSPN"
0,3.28597738264873,0.734,0.111,0,"9","TRGC2"
0,3.84516343961964,0.533,0.044,0,"9","RTKN2"
0,2.46150261647944,0.771,0.295,0,"9","LYAR"
0,2.70741344450475,0.577,0.123,0,"9","IKZF2"
0,4.42043741159879,0.461,0.03,0,"9","ZNF683"
0,3.47989417048666,0.473,0.05,0,"9","KLRC3"
0,3.6915801172262,0.372,0.037,0,"9","KLRC2"
